Date,Index
2006-10,100
2006-11,102.494193958942
2006-12,102.950846646175
2007-01,103.347729077189
2007-02,102.464457513062
2007-03,102.205849555391
2007-04,105.935196354708
2007-05,108.597202989901
2007-06,110.526503598606
2007-07,108.493026307834
2007-08,107.032173843227
2007-09,110.622056711367
2007-10,114.616256121991
2007-11,115.118306449934
2007-12,112.050793814423
2008-01,116.487174175284
2008-02,119.859287138095
2008-03,120.571475016925
2008-04,115.31119686221
2008-05,116.051733486113
2008-06,117.861493582379
2008-07,115.336472841208
2008-08,116.968607234084
2008-09,120.215331516767
2008-10,130.59929841812
2008-11,139.069625905599
2008-12,141.303725084575
2009-01,140.093649980225
2009-02,141.660364192165
2009-03,136.493755841973
2009-04,133.735403122129
2009-05,136.328322081393
2009-06,134.674678325997
2009-07,134.454033897566
2009-08,135.147091329546
2009-09,139.369765766016
2009-10,138.487287173779
2009-11,141.207180756951
2009-12,137.897514330489
2010-01,132.614636476905
2010-02,134.243499860734
2010-03,137.928638477177
2010-04,140.345418555344
2010-05,137.478626929524
2010-06,136.720843167011
2010-07,136.169628581879
2010-08,138.045700952458
2010-09,138.823209890738
2010-10,140.713853119799
2010-11,136.125618641976
2010-12,140.688676262287
2011-01,139.176776232254
2011-02,141.415236756626
2011-03,137.879771584447
2011-04,141.717458168255
2011-05,138.913113078783
2011-06,137.153805819026
2011-07,142.880847052573
2011-08,144.362614150782
2011-09,146.822611196961
2011-10,139.778840139841
2011-11,141.182202142412
2011-12,144.549458152395
2012-01,141.701004001534
2012-02,141.388473955334
2012-03,139.517754145013
2012-04,139.734532835479
2012-05,141.729848354038
2012-06,136.256359882363
2012-07,139.714708538226
2012-08,137.775892266839
2012-09,138.620407329836
2012-10,136.079923636807
2012-11,137.473571733724
2012-12,139.301371940491
2013-01,143.224600366948
2013-02,143.122505236093
2013-03,146.606625478385
2013-04,150.423801844254
2013-05,145.953830202912
2013-06,143.23826029897
2013-07,141.733119363085
2013-08,141.621292484708
2013-09,138.13916061943
2013-10,141.423419235317
2013-11,145.143314800919
2013-12,145.777664559013
2014-01,141.345851716239
2014-02,145.421132502629
2014-03,145.38445755271
2014-04,146.813789384684
2014-05,151.845196027607
2014-06,155.309491972646
2014-07,153.6749786641
2014-08,159.749143342555
2014-09,160.342881045296
2014-10,159.924588373248
2014-11,166.980055765748
2014-12,170.670348699477
2015-01,183.020885888371
2015-02,182.799844973995
2015-03,187.41593258946
2015-04,180.986912990168
2015-05,180.536901442515
2015-06,174.798758602506
2015-07,177.345189584711
2015-08,175.506486014454
2015-09,177.97560223737
2015-10,170.956809794789
2015-11,172.290984999945
2015-12,168.116979213233
2016-01,175.217051274554
2016-02,178.430569859337
2016-03,173.433855736606
2016-04,171.989655681693
2016-05,168.288459384475
2016-06,175.984251578262
2016-07,177.76050861217
2016-08,176.490762373087
2016-09,176.646383106527
2016-10,171.410786201893
2016-11,173.316892382811
2016-12,176.689996560484
2017-01,173.187043235801
2017-02,176.070487271314
2017-03,174.746224214784
2017-04,174.798758602506
2017-05,175.881165232544
2017-06,172.038225209964
2017-07,176.722706650953
2017-08,175.511442088767
2017-09,172.428763865857
2017-10,175.938655694579
2017-11,176.654312825428
2017-12,174.597541985384
2018-01,182.254676799526
2018-02,171.474223953104
2018-03,167.975235487871
2018-04,165.781676996778
2018-05,161.608662424928
2018-06,164.675481210035
2018-07,163.611907662388
2018-08,164.747839895011
2018-09,162.515624024273
2018-10,160.189242741581
2018-11,158.041280134171
2018-12,161.945675478236
2019-01,157.150177972629
2019-02,155.45916541691
2019-03,162.360994505696
2019-04,164.707200085641
2019-05,165.442681513744
2019-06,167.787895878826
2019-07,172.207722951481
2019-08,176.711803287463
2019-09,171.021238760862
2019-10,164.860838389355
2019-11,166.35757283199
2019-12,165.267236483051
2020-01,162.511659164822
2020-02,159.961263323167
2020-03,161.879264082437
2020-04,157.023302470207
2020-05,155.1885637594
2020-06,152.623299694805
2020-07,155.140985445992
2020-08,155.12909086764
2020-09,152.976172185916
2020-10,151.629111187545
2020-11,160.811725675339
2020-12,166.763970925686
