Date,Index
2007-11,100
2007-12,101.380232672704
2008-01,104.518479653492
2008-02,99.0778997428722
2008-03,93.3994702308036
2008-04,90.5275901028185
2008-05,92.6273422273789
2008-06,94.1453935223651
2008-07,94.5973918514213
2008-08,107.930541416518
2008-09,132.468790786765
2008-10,160.362204517549
2008-11,181.221401342295
2008-12,187.820340553508
2009-01,212.144675890281
2009-02,251.265957661743
2009-03,207.577992493815
2009-04,206.727861158566
2009-05,188.756996641999
2009-06,196.998871613414
2009-07,173.029860190491
2009-08,167.812794215124
2009-09,160.577158226798
2009-10,164.985689627652
2009-11,160.693883305727
2009-12,165.138187741799
2010-01,175.768132920251
2010-02,163.185293105339
2010-03,166.467811701345
2010-04,170.35030185359
2010-05,207.49742500129
2010-06,206.147897869796
2010-07,178.296938035628
2010-08,187.928743305055
2010-09,155.647342031137
2010-10,155.079547065278
2010-11,168.892915110158
2010-12,154.442164796378
2011-01,141.138296944236
2011-02,135.283038302826
2011-03,136.521860833474
2011-04,121.731169266503
2011-05,127.384000910667
2011-06,134.252751477323
2011-07,134.238768066311
2011-08,138.507388642817
2011-09,160.502986910985
2011-10,143.751439694991
2011-11,163.243890868519
2011-12,168.20338654812
2012-01,163.724307113734
2012-02,152.747606597834
2012-03,153.079590379946
2012-04,158.138494003187
2012-05,189.959672112635
2012-06,168.905410286796
2012-07,161.880153050712
2012-08,155.578751182732
2012-09,145.893031972109
2012-10,148.305310085448
2012-11,148.19122895921
2012-12,143.759480600341
2013-01,131.107502760932
2013-02,134.114034262458
2013-03,136.735497031293
2013-04,134.755133030388
2013-05,139.252522215548
2013-06,146.40446314111
2013-07,133.815518958089
2013-08,140.161744871493
2013-09,128.795006428474
2013-10,125.882259472091
2013-11,129.229785740659
2013-12,122.201756861595
2014-01,127.713283074788
2014-02,122.987567529416
2014-03,123.484673165535
2014-04,123.690946553769
2014-05,127.603353134204
2014-06,126.32658400948
2014-07,135.49690280426
2014-08,136.058413876546
2014-09,146.519758588646
2014-10,153.140274055278
2014-11,156.150100085066
2014-12,174.34187987423
2015-01,196.645433453187
2015-02,195.651480519885
2015-03,209.10124133866
2015-04,195.216355305813
2015-05,198.225941288761
2015-06,188.6245128952
2015-07,200.403027556023
2015-08,201.179459559979
2015-09,200.834878359954
2015-10,202.132176069728
2015-11,212.23341409716
2015-12,198.733595672591
2016-01,211.497475821116
2016-02,213.483870550278
2016-03,186.177105246681
2016-04,183.824841219454
2016-05,195.872232776012
2016-06,206.635317180465
2016-07,206.992120158589
2016-08,206.868053762007
2016-09,205.859848624906
2016-10,227.889561871327
2016-11,235.788755812856
2016-12,228.685228111444
2017-01,207.139093717754
2017-02,214.120488471331
2017-03,202.134922812472
2017-04,195.344028361755
2017-05,187.67444364272
2017-06,174.844452213719
2017-07,153.513505778533
2017-08,150.251539733681
2017-09,155.713306757805
2017-10,160.798341893733
2017-11,161.3426041771
2017-12,152.341766333401
2018-01,138.623267147586
2018-02,157.855647934095
2018-03,166.253396839481
2018-04,173.50496966949
2018-05,175.514653012477
2018-06,181.619761067837
2018-07,167.657595152511
2018-08,179.213721390347
2018-09,168.837619234949
2018-10,189.451428310293
2018-11,185.376495547038
2018-12,188.929561704332
2019-01,186.164212275452
2019-02,192.907145360991
2019-03,193.27229638627
2019-04,199.680109495255
2019-05,203.040353355601
2019-06,188.657778929351
2019-07,197.778385892138
2019-08,216.021458869982
2019-09,215.063406110824
2019-10,204.279645748964
2019-11,197.878912635498
2019-12,186.339853452086
2020-01,195.970766159242
2020-02,216.950555576225
2020-03,260.396527240909
2020-04,252.974554962059
2020-05,235.513646486496
2020-06,235.550928588205
2020-07,204.41929911168
2020-08,198.811203972061
2020-09,217.192509055156
2020-10,215.814421976484
2020-11,191.802340477863
2020-12,177.312414162637
