Date,Global,EM_eq,TLT,Corp_bond,EM_bond,GLD,Lynx,SEB_select,Amundi,portfolio_monthly_returns_cum
2007-11,19.2,4.8,9.0,4.5,4.5,19.0,13.5,4.5,21.0,100.0
2007-12,19.197913848323523,4.870311147759322,9.059257512918798,4.536312636406554,4.592974123001835,20.487654115825887,13.171949999999992,4.380090254230739,21.28984886126784,101.5863124997345
2008-01,17.368964199927078,4.200486685030783,9.059779063784271,4.5944684257350845,4.568997891064905,22.37833343282304,13.98729370499999,4.553509341424806,21.948880727233316,102.66071347202326
2008-02,16.871532143060843,4.369006847726027,8.747440631114202,4.524749507382207,4.407646342258984,22.80977539274762,14.829328786040971,4.685325981198334,20.80635894600316,102.05116457753236
2008-03,16.042090778146758,3.992957646848079,8.56789108887803,4.45543215490113,4.257294719763924,20.690819962448593,15.062149247981848,4.713165562526164,19.613888748468753,97.39568990996328
2008-04,17.00534028768767,4.334417022013102,8.4554219213712,4.38801965912986,4.32414463388746,19.910324407205707,14.48526893178413,4.507540128777168,19.01079392159188,96.42127091344817
2008-05,17.33098991380222,4.430129379965096,8.324120724663349,4.354537418485094,4.343653213510338,20.16378439078459,14.985010709930695,4.5364878688050565,19.451741867749565,97.920455487696
2008-06,15.963392457295585,4.002112339664311,8.511839648789367,4.373443614220944,4.27246131922552,21.148043721432515,15.758237262563103,4.607231790291939,19.77053263969667,98.40729479317996
2008-07,15.638266173381066,3.8733066667681793,8.538728602900097,4.404660883785761,4.330890052268243,20.96252410628215,14.623644179658564,4.508528172373349,19.865452288798473,96.74600112621587
2008-08,16.30232437782017,3.7971216593874564,9.273059260221483,4.615293251198991,4.6472586278709604,20.258877168447224,14.917579427669704,4.572328665921577,22.66541369746878,101.04925613600635
2008-09,15.296345530919464,3.3591134324917635,10.04479208156994,4.832558842306009,4.627218686228596,22.616977718453747,15.321845830159555,4.699243834521869,27.818446065220648,108.6165420218716
2008-10,13.773504313664283,2.7398025665623695,11.135969361559187,5.226743837971975,4.188461927177718,21.29888244905097,17.604800858853324,5.105155391919656,33.67606294868529,114.74938365544477
2008-11,21.503275552371214,5.3206864420893165,11.756781632927769,5.550176646387394,5.9397170181529635,25.63922492394954,16.089125831713574,5.498627728493978,27.231848527344358,124.5294643034301
2008-12,21.52072692371623,5.5395646272901296,12.441619480904656,5.6934530131820065,6.71860475230159,26.67734762626404,16.488136152340054,5.586961033582912,28.22346050975852,128.88987411934013
2009-01,21.017378495007517,5.533359110188523,12.27725053083274,5.880892635080416,6.674844525827816,30.064316542614304,16.174861565445593,5.539116276116923,31.87863926079457,135.04065894190842
