Date,Index
2004-11,100
2004-12,96.0921496329983
2005-01,97.3114237204502
2005-02,98.5177330590985
2005-03,99.958764277949
2005-04,102.123827299385
2005-05,102.262585986573
2005-06,112.168690648061
2005-07,109.717738080819
2005-08,108.316805914567
2005-09,119.463571810098
2005-10,122.012670338759
2005-11,130.805664988037
2005-12,135.33576664197
2006-01,142.153032261335
2006-02,146.283240986647
2006-03,149.589336350769
2006-04,158.057943579
2006-05,153.300756507066
2006-06,145.477153079953
2006-07,150.246248481124
2006-08,149.121041770355
2006-09,144.145738210435
2006-10,143.640343114327
2006-11,145.305158067599
2006-12,142.67990169613
2007-01,148.867688116743
2007-02,153.622715413768
2007-03,151.543567281544
2007-04,148.419804570877
2007-05,149.586668353596
2007-06,145.121392870889
2007-07,146.441358089049
2007-08,151.500402133399
2007-09,156.246440805752
2007-10,164.94466358404
2007-11,163.134101394889
2007-12,175.907107572345
2008-01,192.140490277831
2008-02,195.844853248165
2008-03,177.651490615657
2008-04,170.95015161317
2008-05,173.126360384786
2008-06,181.577216250301
2008-07,179.984343844581
2008-08,173.942827481267
2008-09,194.189491387799
2008-10,182.872318370595
2008-11,215.054681212996
2008-12,223.762165447345
2009-01,252.171117853065
2009-02,275.972994504401
2009-03,245.959947923475
2009-04,232.178889219773
2009-05,240.95819111229
2009-06,232.076601020342
2009-07,221.399888588184
2009-08,219.439193431052
2009-09,227.022961563283
2009-10,239.558799650872
2009-11,265.659958564075
2009-12,250.879560013443
2010-01,258.25447422534
2010-02,256.566026352505
2010-03,259.665403195865
2010-04,276.028599266245
2010-05,307.127241131825
2010-06,312.869985055113
2010-07,274.874831557807
2010-08,298.434617416039
2010-09,283.611011431645
2010-10,296.805247287951
2010-11,313.153653185944
2010-12,309.165037460124
2011-01,280.24413226887
2011-02,292.352549959722
2011-03,291.860063807892
2011-04,301.946603150868
2011-05,306.481185579665
2011-06,304.923786762502
2011-07,330.419137287328
2011-08,373.173314743109
2011-09,355.285632824495
2011-10,352.742791582586
2011-11,387.029990700973
2011-12,345.933859985283
2012-01,377.284990257087
2012-02,355.104490036905
2012-03,353.937621781794
2012-04,359.108122231147
2012-05,363.170609162038
2012-06,354.288468239738
2012-07,350.795210279413
2012-08,362.465701333569
2012-09,370.396580547485
2012-10,365.654233323437
2012-11,365.627333414189
2012-12,347.92362851283
2013-01,338.016352365111
2013-02,324.667758567056
2013-03,332.576791995065
2013-04,308.2930363663
2013-05,290.460968583506
2013-06,265.089660995285
2013-07,276.849124449815
2013-08,294.322505659041
2013-09,272.58791433536
2013-10,269.913888619195
2013-11,261.680280922457
2013-12,245.890196347489
2014-01,258.303101411351
2014-02,274.575364507499
2014-03,265.309668669753
2014-04,269.061445884901
2014-05,266.412048406187
2014-06,284.88462624667
2014-07,280.445679062413
2014-08,285.83656834513
2014-09,277.601829264991
2014-10,273.229778944876
2014-11,275.544806936494
2014-12,290.830346570191
2015-01,337.339934315318
2015-02,321.988856731198
2015-03,322.443488994263
2015-04,312.625010245389
2015-05,318.668007839807
2015-06,305.519425461532
2015-07,298.699653067147
2015-08,300.229027563361
2015-09,295.68563949285
2015-10,307.471970483678
2015-11,294.252041736258
2015-12,281.81434654151
2016-01,303.416970738008
2016-02,335.396087778564
2016-03,316.000291017667
2016-04,328.015059055174
2016-05,318.99985610882
2016-06,353.005449728766
2016-07,364.736391258658
2016-08,351.627920928408
2016-09,355.749105316198
2016-10,362.760752038164
2016-11,338.663685289083
2016-12,329.392767886548
2017-01,336.647202938459
2017-02,356.864734984147
2017-03,350.280932593918
2017-04,352.517086524828
2017-05,347.853754959217
2017-06,329.60441397887
2017-07,323.327656038702
2017-08,331.26144232292
2017-09,325.889454548626
2017-10,332.744950484869
2017-11,336.011830596308
2017-12,333.990182089735
2018-01,332.472904538007
2018-02,339.593679245389
2018-03,346.47227911768
2018-04,356.782179384758
2018-05,358.29393299193
2018-06,353.938543850588
2018-07,335.331197414678
2018-08,341.867140308713
2018-09,330.951912297022
2018-10,348.745434178973
2018-11,345.90804460978
2018-12,359.642757294352
2019-01,372.162732455832
2019-02,379.377494302053
2019-03,374.539093538005
2019-04,380.710382849066
2019-05,388.37794747316
2019-06,407.754383593187
2019-07,420.820683471979
2019-08,464.007544258499
2019-09,448.715544174241
2019-10,453.703371646375
2019-11,435.355553586933
2019-12,441.067484729428
2020-01,475.51973184572
2020-02,470.04901038687
2020-03,490.319506644589
2020-04,516.164851390497
2020-05,506.346816542233
2020-06,515.405054469066
2020-07,531.695689424684
2020-08,525.98266967003
2020-09,524.514828603008
2020-10,518.796641665816
2020-11,467.757450142209
2020-12,482.419148460239
