Date,Index
2001-07,100
2001-08,93.6425199369363
2001-09,87.5034884761543
2001-10,89.1523349530808
2001-11,94.498358417315
2001-12,93.7440218762449
2002-01,92.8045867971711
2002-02,90.0702530201012
2002-03,93.493490749806
2002-04,89.5206928194641
2002-05,85.1389843740764
2002-06,75.0772700860049
2002-07,71.184556889722
2002-08,70.6147716834424
2002-09,62.1280511819225
2002-10,65.7602962732094
2002-11,68.6201429577702
2002-12,62.7401118605409
2003-01,60.11616444336
2003-02,58.4084864644254
2003-03,57.8507100801163
2003-04,60.8607405992055
2003-05,61.0685850264415
2003-06,64.2076318753109
2003-07,67.4602693059571
2003-08,70.1912982207436
2003-09,65.5375752509962
2003-10,70.220521260022
2003-11,68.6654948649581
2003-12,69.6477300445074
2004-01,72.7041167150755
2004-02,73.7877359313855
2004-03,75.0676250149956
2004-04,74.2757741731555
2004-05,73.024206512359
2004-06,75.1433575010283
2004-07,74.2125748751767
2004-08,72.993027082672
2004-09,72.2547016207671
2004-10,71.828924628816
2004-11,72.001284076842
2004-12,74.0297720119055
2005-01,76.125329673186
2005-02,77.3396928658526
2005-03,78.0142048531573
2005-04,76.992689723638
2005-05,81.7427048746204
2005-06,86.8349872543159
2005-07,89.3542845840826
2005-08,87.6953426326657
2005-09,92.5898040477555
2005-10,92.6132402333116
2005-11,97.2443016598753
2005-12,98.1299996858552
2006-01,98.3813698721436
2006-02,102.226976568435
2006-03,103.007088348709
2006-04,100.384008467765
2006-05,94.7766503602734
2006-06,94.305778739009
2006-07,95.0655735711049
2006-08,98.1512648231315
2006-09,100.533518725393
2006-10,102.610331329774
2006-11,99.8550153916564
2006-12,102.110056381392
2007-01,104.909638682879
2007-02,105.017734968212
2007-03,106.863679529116
2007-04,107.107258994874
2007-05,113.787734147191
2007-06,112.24160788651
2007-07,108.956009958228
2007-08,111.174629430226
2007-09,109.324390091623
2007-10,112.118994633995
2007-11,107.767438288204
2007-12,107.755728953722
2008-01,97.4900404971701
2008-02,94.6980103674354
2008-03,90.0424493722759
2008-04,95.4490604178797
2008-05,97.2768951046441
2008-06,89.6007245579158
2008-07,87.7758273319975
2008-08,91.5031112677614
2008-09,85.8566652624171
2008-10,77.3091289653712
2008-11,75.4542679727219
2008-12,75.5155042456214
2009-01,73.7492716020906
2009-02,71.7695534852341
2009-03,71.0355018547168
2009-04,77.5565382886079
2009-05,80.2930730979707
2009-06,81.1342663962502
2009-07,82.2574688304066
2009-08,84.3994423694373
2009-09,86.2868774688603
2009-10,86.4272714829771
2009-11,88.4729526297749
2009-12,91.9006113286077
2010-01,91.6676334503212
2010-02,89.303581646659
2010-03,96.620331364334
2010-04,97.1657719913525
2010-05,94.9649683520476
2010-06,91.6031022455542
2010-07,91.6912925153698
2010-08,90.8842064810753
2010-09,90.3194071503984
2010-10,94.4590285228444
2010-11,95.4297921080963
2010-12,98.7078479390001
2011-01,97.0712641697645
2011-02,98.317394208695
2011-03,96.5108878973092
2011-04,95.3981477863567
2011-05,96.4784857655004
2011-06,96.8310543203036
2011-07,95.2049625219675
2011-08,88.7724232570195
2011-09,86.0575798162753
2011-10,89.3505976780309
2011-11,93.5408301420206
2011-12,93.3981976937342
2012-01,96.7591080011938
2012-02,98.575513614393
2012-03,100.227975484312
2012-04,100.678569392007
2012-05,98.9606820266878
2012-06,98.9781367468054
2012-07,98.5183479609208
2012-08,99.1138437038251
2012-09,99.8109111910885
2012-10,100.844383406804
2012-11,102.606381713727
2012-12,102.333396457664
2013-01,104.528413963194
2013-02,105.764719234174
2013-03,109.286371396717
2013-04,112.725346772991
2013-05,112.913544478909
2013-06,112.477217176202
2013-07,114.577036838511
2013-08,113.369892974667
2013-09,115.969313340109
2013-10,119.858089339044
2013-11,124.7213679466
2013-12,123.919829890018
2014-01,120.836964121733
2014-02,126.709540041268
2014-03,126.967351715801
2014-04,129.3499268965
2014-05,134.916740211889
2014-06,138.2520121167
2014-07,139.513835603355
2014-08,144.785388018768
2014-09,145.0104014812
2014-10,148.260832203644
2014-11,152.764021254252
2014-12,156.079906639506
2015-01,163.962256309321
2015-02,175.582091657317
2015-03,176.912523028553
2015-04,176.798297037316
2015-05,178.986911082126
2015-06,170.141361122275
2015-07,179.68504467489
2015-08,163.852179726684
2015-09,156.792480893551
2015-10,171.912840148296
2015-11,174.977657916863
2015-12,165.305627240584
2016-01,158.658287348448
2016-02,157.011270513009
2016-03,160.24521291773
2016-04,160.589100913623
2016-05,166.599124201779
2016-06,168.15889582401
2016-07,177.708074906402
2016-08,177.68337901376
2016-09,179.629571030431
2016-10,185.52463981402
2016-11,190.430539421698
2016-12,192.912772791241
2017-01,192.139944388239
2017-02,202.929635791935
2017-03,202.48866977929
2017-04,203.444228403945
2017-05,205.441284062618
2017-06,199.856479446709
2017-07,196.973187586652
2017-08,194.41656167522
2017-09,201.757999656075
2017-10,211.865715123114
2017-11,217.31303492935
2017-12,214.961482873337
2018-01,218.97358466607
2018-02,218.812523632019
2018-03,217.093680152822
2018-04,227.862278968754
2018-05,231.886643865166
2018-06,236.372076233583
2018-07,235.989558117002
2018-08,247.777146705778
2018-09,242.512359512577
2018-10,231.493627322657
2018-11,232.181970718447
2018-12,213.830563283879
2019-01,232.047936317392
2019-02,244.362072378367
2019-03,248.243702431971
2019-04,262.597579800319
2019-05,247.643418283185
2019-06,256.495962952149
2019-07,265.470962663988
2019-08,264.817911676091
2019-09,270.66760428252
2019-10,274.138780582711
2019-11,278.407008089957
2019-12,281.694152301052
2020-01,287.410476181589
2020-02,262.828934834445
2020-03,237.67888854468
