Date,Pct Change
2023-02-03,0.8681511453705104
2023-02-02,-1.2585243317514094
2023-02-01,2.598520197018761
2023-01-31,1.2828373963087225
2023-01-30,-3.8482270698222854
2023-01-29,3.168936087041496
2023-01-28,-0.20238704029538201
2023-01-27,0.25460549183176084
2023-01-26,-0.1700267184843396
2023-01-25,1.8672263338119999
2023-01-24,-1.2384198147170289
2023-01-23,0.9093311022061679
2023-01-22,-0.29812475577041253
2023-01-21,0.4330283320471917
2023-01-20,7.6028830504533795
2023-01-19,1.9863961375093275
2023-01-18,-2.207019884468542
2023-01-17,-0.22327750608940322
2023-01-16,1.4564106493742957
2023-01-15,-0.3636190112616955
2023-01-14,5.175416146013667
2023-01-13,5.709041526089087
2023-01-12,5.073853185441157
2023-01-11,2.877211089131615
2023-01-10,1.5075581632237212
2023-01-09,0.35691337110812515
2023-01-08,1.035199131235398
2023-01-07,-0.04306555994079142
2023-01-06,0.7195569763158272
2023-01-05,-0.13292033087668464
2023-01-04,1.0669177531755558
2023-01-03,0.006597453383005991
2023-01-02,0.336374139508
2023-01-01,0.48919123204838044
2022-12-31,-0.42029962907653706
2022-12-30,-0.17551874203554085
2022-12-29,0.5451402738997579
2022-12-28,-0.9559496944193446
2022-12-27,-1.253679469447122
2022-12-26,0.5127199705319718
2022-12-25,-0.02316505996187157
2022-12-24,0.34925440739992375
2022-12-23,-0.24612823637824022
2022-12-22,-0.06654071459974986
2022-12-21,-0.41945961296124823
2022-12-20,2.806955654358223
2022-12-19,-1.7908022770307785
2022-12-18,-0.21398342969543016
2022-12-17,0.8906127848938405
2022-12-16,-4.189160381869838
2022-12-15,-2.474095884560934
2022-12-14,0.10012036943292113
2022-12-13,3.298491072517984
2022-12-12,0.6856527742026053
2022-12-11,-0.1967653412740189
2022-12-10,0.008758766065031232
2022-12-09,-0.5799507709455587
2022-12-08,2.3195447633529653
2022-12-07,-1.4874717661240378
2022-12-06,0.7249665513400005
2022-12-05,-0.8207214632692139
2022-12-04,1.349142423955274
2022-12-03,-1.2221091181391697
2022-12-02,0.7152873522583869
2022-12-01,-1.1151636622114602
2022-11-30,4.398204466935929
2022-11-29,1.409458484199888
2022-11-28,-1.3052398317311975
2022-11-27,-0.1871612260275768
2022-11-26,-0.3379299067967523
2022-11-25,-0.5319084852354661
2022-11-24,-0.022282579238663835
2022-11-23,2.5097275064901448
2022-11-22,2.7654881279870036
2022-11-21,-3.086260489231263
2022-11-20,-2.4707622475193536
2022-11-19,0.2822449886501488
2022-11-18,-0.4612513011953201
2022-11-17,0.9110970043227251
2022-11-16,-2.1005717532582957
2022-11-15,1.6858260607884423
2022-11-14,1.768453292496175
2022-11-13,-2.8529091460910982
2022-11-12,-1.4938504038146894
2022-11-11,-3.0655349051400993
2022-11-10,10.713791149996844
2022-11-09,-14.305055855525417
2022-11-08,-10.013113798630325
2022-11-07,-1.5648083073966257
2022-11-06,-1.7954147436228585
2022-11-05,0.7372657325129817
2022-11-04,4.6495169847177165
2022-11-03,0.2599980152823367
2022-11-02,-1.6037768089479543
2022-11-01,-0.061475109898945224
2022-10-31,-0.6288179967031904
2022-10-30,-0.8798908185723819
2022-10-29,1.0468966990706097
2022-10-28,1.4852412161829198
2022-10-27,-2.2947109944871036
2022-10-26,3.3987494274847263
2022-10-25,3.8842735803184425
2022-10-24,-1.2247588293001987
2022-10-23,1.9078563692410233
2022-10-22,0.22022063811799608
2022-10-21,0.6285807308760605
2022-10-20,-0.4298016742395938
2022-10-19,-1.0570047909272406
2022-10-18,-1.1264349000429719
2022-10-17,1.4847732865404861
2022-10-16,1.0126489343849743
2022-10-15,-0.5891031556118587
2022-10-14,-1.0216823703031008
2022-10-13,1.1756966994873386
2022-10-12,0.5052863551695985
2022-10-11,-0.3930115029031622
2022-10-10,-1.579594377034943
2022-10-09,0.12721270272915142
2022-10-08,-0.5898557106430058
2022-10-07,-2.1595599727487813
2022-10-06,-0.9961552771921123
2022-10-05,-0.8996828986504779
2022-10-04,3.6195153262658097
2022-10-03,2.9946058265468922
2022-10-02,-1.3447666982534079
2022-10-01,-0.5714903541695682
2022-09-30,-0.8696806067349239
2022-09-29,0.8897951617387934
2022-09-28,1.7166752255887152
2022-09-27,-0.7686387086037527
2022-09-26,2.2475017417340926
2022-09-25,-0.6441181288341813
2022-09-24,-1.882997034487055
2022-09-23,-0.5699826325364143
2022-09-22,4.953997436188695
2022-09-21,-2.0455520765452873
2022-09-20,-3.4111439231481855
2022-09-19,0.6257274403370205
2022-09-18,-3.4558191101676017
2022-09-17,1.568970044640161
2022-09-16,0.5101030865043432
2022-09-15,-2.5743857029121298
2022-09-14,0.23295581274318522
2022-09-13,-9.911901157832226
2022-09-12,2.5585484919813606
2022-09-11,0.8521782507482589
2022-09-10,1.341521639408727
2022-09-09,10.592790442470545
2022-09-08,0.18618883385630447
2022-09-07,2.6359634414440336
2022-09-06,-5.087554437337694
2022-09-05,-1.0340051700258646
2022-09-04,0.8455945381752983
2022-09-03,-0.6084359087446312
2022-09-02,-0.8886526654612537
2022-09-01,0.38005177083175745
2022-08-31,1.2655733729424856
2022-08-30,-2.4783696958946777
2022-08-29,3.807930930424064
2022-08-28,-2.4158688642421433
2022-08-27,-1.066671934182395
2022-08-26,-6.094823828382223
2022-08-25,0.9360929353066094
2022-08-24,-0.7017967856777663
2022-08-23,0.47019821165923403
2022-08-22,-0.46707688875669007
2022-08-21,1.789591700608817
2022-08-20,1.479547014742666
2022-08-19,-10.216105785807873
2022-08-18,-0.5746067521649634
2022-08-17,-2.1705413358596215
