Date,M2
2009-01-05,8332.0
2009-01-12,8293.7
2009-01-19,8281.7
2009-01-26,8233.6
2009-02-02,8251.9
2009-02-09,8290.7
2009-02-16,8312.5
2009-02-23,8292.4
2009-03-02,8357.4
2009-03-09,8440.5
2009-03-16,8489.9
2009-03-23,8439.2
2009-03-30,8409.5
2009-04-06,8475.1
2009-04-13,8495.7
2009-04-20,8467.0
2009-04-27,8361.1
2009-05-04,8412.3
2009-05-11,8431.3
2009-05-18,8440.0
2009-05-25,8405.6
2009-06-01,8433.7
2009-06-08,8492.3
2009-06-15,8488.2
2009-06-22,8416.6
2009-06-29,8367.9
2009-07-06,8454.7
2009-07-13,8425.4
2009-07-20,8399.8
2009-07-27,8366.4
2009-08-03,8397.8
2009-08-10,8417.2
2009-08-17,8419.4
2009-08-24,8340.9
2009-08-31,8351.8
2009-09-07,8423.3
2009-09-14,8437.1
2009-09-21,8384.8
2009-09-28,8344.5
2009-10-05,8416.3
2009-10-12,8431.2
2009-10-19,8450.1
2009-10-26,8392.4
2009-11-02,8437.8
2009-11-09,8497.2
2009-11-16,8524.0
2009-11-23,8483.4
2009-11-30,8506.8
2009-12-07,8559.7
2009-12-14,8558.2
2009-12-21,8541.7
2009-12-28,8527.1
2010-01-04,8534.2
2010-01-11,8494.9
2010-01-18,8476.3
2010-01-25,8411.2
2010-02-01,8428.8
2010-02-08,8481.4
2010-02-15,8530.4
2010-02-22,8508.5
2010-03-01,8527.7
2010-03-08,8581.1
2010-03-15,8599.2
2010-03-22,8564.9
2010-03-29,8557.8
2010-04-05,8657.4
2010-04-12,8641.3
2010-04-19,8621.5
2010-04-26,8526.0
2010-05-03,8552.7
2010-05-10,8580.5
2010-05-17,8617.0
2010-05-24,8548.4
2010-05-31,8589.7
2010-06-07,8651.4
2010-06-14,8628.3
2010-06-21,8599.9
2010-06-28,8556.2
2010-07-05,8604.4
2010-07-12,8598.8
2010-07-19,8573.8
2010-07-26,8534.4
2010-08-02,8585.3
2010-08-09,8626.1
2010-08-16,8631.6
2010-08-23,8579.8
2010-08-30,8586.0
2010-09-06,8670.1
2010-09-13,8682.7
2010-09-20,8646.1
2010-09-27,8603.5
2010-10-04,8692.9
2010-10-11,8715.5
2010-10-18,8738.6
2010-10-25,8667.9
2010-11-01,8705.5
2010-11-08,8768.7
2010-11-15,8788.1
2010-11-22,8764.3
2010-11-29,8785.2
2010-12-06,8829.1
2010-12-13,8848.4
2010-12-20,8857.2
2010-12-27,8874.8
2011-01-03,8888.5
2011-01-10,8887.3
2011-01-17,8910.1
2011-01-24,8790.0
2011-01-31,8789.4
2011-02-07,8868.3
2011-02-14,8886.0
2011-02-21,8886.0
2011-02-28,8908.2
2011-03-07,8996.3
2011-03-14,9009.4
2011-03-21,9005.3
2011-03-28,8984.6
2011-04-04,9070.3
2011-04-11,9077.5
2011-04-18,9094.1
2011-04-25,9016.5
2011-05-02,8997.9
2011-05-09,9027.8
2011-05-16,9050.4
2011-05-23,8998.5
2011-05-30,9017.1
2011-06-06,9094.4
2011-06-13,9095.1
2011-06-20,9105.3
2011-06-27,9117.1
2011-07-04,9251.5
2011-07-11,9246.0
2011-07-18,9244.6
2011-07-25,9211.2
2011-08-01,9387.6
2011-08-08,9460.5
2011-08-15,9480.6
2011-08-22,9458.9
2011-08-29,9437.3
2011-09-05,9521.1
2011-09-12,9523.1
2011-09-19,9497.9
2011-09-26,9448.5
2011-10-03,9538.8
2011-10-10,9559.5
2011-10-17,9596.6
2011-10-24,9498.6
2011-10-31,9528.6
2011-11-07,9636.7
2011-11-14,9657.6
2011-11-21,9620.6
2011-11-28,9616.6
2011-12-05,9686.0
2011-12-12,9717.5
2011-12-19,9719.5
2011-12-26,9714.2
2012-01-02,9826.7
2012-01-09,9823.8
2012-01-16,9805.5
2012-01-23,9710.7
2012-01-30,9677.5
2012-02-06,9764.7
2012-02-13,9792.0
2012-02-20,9791.6
2012-02-27,9777.0
2012-03-05,9887.8
2012-03-12,9908.9
2012-03-19,9904.2
2012-03-26,9866.8
2012-04-02,9959.8
2012-04-09,10025.3
2012-04-16,10026.5
2012-04-23,9888.5
2012-04-30,9837.0
2012-05-07,9906.3
2012-05-14,9904.2
2012-05-21,9877.1
2012-05-28,9845.2
2012-06-04,9939.2
2012-06-11,9987.3
2012-06-18,9986.5
2012-06-25,9890.0
2012-07-02,9990.2
2012-07-09,10042.6
2012-07-16,10035.9
2012-07-23,9958.1
2012-07-30,9973.9
2012-08-06,10068.3
2012-08-13,10089.3
2012-08-20,10062.9
2012-08-27,10033.3
2012-09-03,10131.5
2012-09-10,10177.9
2012-09-17,10198.5
2012-09-24,10095.5
2012-10-01,10196.6
2012-10-08,10241.3
2012-10-15,10273.4
2012-10-22,10209.7
2012-10-29,10220.2
2012-11-05,10373.4
2012-11-12,10341.1
2012-11-19,10338.9
2012-11-26,10311.4
2012-12-03,10410.9
2012-12-10,10462.2
2012-12-17,10526.9
2012-12-24,10549.5
2012-12-31,10615.7
2013-01-07,10630.2
2013-01-14,10562.3
2013-01-21,10475.0
2013-01-28,10398.2
2013-02-04,10464.8
2013-02-11,10486.9
2013-02-18,10480.5
2013-02-25,10448.6
2013-03-04,10572.1
2013-03-11,10599.3
2013-03-18,10627.2
2013-03-25,10581.9
2013-04-01,10720.4
2013-04-08,10719.5
2013-04-15,10740.2
2013-04-22,10629.3
2013-04-29,10531.7
2013-05-06,10593.3
2013-05-13,10598.1
2013-05-20,10570.9
2013-05-27,10539.1
2013-06-03,10634.0
2013-06-10,10667.6
2013-06-17,10673.5
2013-06-24,10560.2
2013-07-01,10670.7
2013-07-08,10706.1
2013-07-15,10702.3
2013-07-22,10660.8
2013-07-29,10647.7
2013-08-05,10749.7
2013-08-12,10749.4
2013-08-19,10727.8
2013-08-26,10697.4
2013-09-02,10775.1
2013-09-09,10815.8
2013-09-16,10821.5
2013-09-23,10757.9
2013-09-30,10827.1
2013-10-07,10902.6
2013-10-14,10955.6
2013-10-21,10976.2
2013-10-28,10896.8
2013-11-04,10977.7
2013-11-11,10960.9
2013-11-18,10983.0
2013-11-25,10941.3
2013-12-02,11029.4
2013-12-09,11073.3
2013-12-16,11098.0
2013-12-23,11116.8
2013-12-30,11128.3
2014-01-06,11179.0
2014-01-13,11131.1
2014-01-20,11100.9
2014-01-27,11033.2
2014-02-03,11089.1
2014-02-10,11138.3
2014-02-17,11187.0
2014-02-24,11135.6
2014-03-03,11207.4
2014-03-10,11261.1
2014-03-17,11299.7
2014-03-24,11257.6
2014-03-31,11304.2
2014-04-07,11381.4
2014-04-14,11405.1
2014-04-21,11344.5
2014-04-28,11220.6
2014-05-05,11274.3
2014-05-12,11275.3
2014-05-19,11268.0
2014-05-26,11240.7
2014-06-02,11335.3
2014-06-09,11353.6
2014-06-16,11370.0
2014-06-23,11279.8
2014-06-30,11332.9
2014-07-07,11415.5
2014-07-14,11412.4
2014-07-21,11382.9
2014-07-28,11353.4
2014-08-04,11450.8
2014-08-11,11420.8
2014-08-18,11431.7
2014-08-25,11373.5
2014-09-01,11432.4
2014-09-08,11485.7
2014-09-15,11506.0
2014-09-22,11427.3
2014-09-29,11441.2
2014-10-06,11547.1
2014-10-13,11547.5
2014-10-20,11560.2
2014-10-27,11516.3
2014-11-03,11565.7
2014-11-10,11612.1
2014-11-17,11633.7
2014-11-24,11571.1
2014-12-01,11659.8
2014-12-08,11715.7
2014-12-15,11755.5
2014-12-22,11774.6
2014-12-29,11789.7
2015-01-05,11820.4
2015-01-12,11797.6
2015-01-19,11752.4
2015-01-26,11677.4
2015-02-02,11778.6
2015-02-09,11811.8
2015-02-16,11854.8
2015-02-23,11840.5
2015-03-02,11918.4
2015-03-09,11946.9
2015-03-16,11979.0
2015-03-23,11923.4
2015-03-30,11960.9
2015-04-06,12113.2
2015-04-13,12091.5
2015-04-20,12034.3
2015-04-27,11852.8
2015-05-04,11898.0
2015-05-11,11904.9
2015-05-18,11919.2
2015-05-25,11873.4
2015-06-01,11932.7
2015-06-08,11969.8
