Date,Pct_Change_SP500,Pct_Change_BTC
2010-07-19,0.4124314116092931,0.0
2010-07-20,1.780123683724688,0.0
2010-07-21,-1.5717814455424084,0.0
2010-07-22,2.008135971301739,0.0
2010-07-23,0.9604722536136645,0.0
2010-07-26,1.098930533073239,0.0
2010-07-27,-0.31503003305980437,0.0
2010-07-28,-0.6029582998085314,0.0
2010-07-29,-0.5902079570057617,0.0
2010-07-30,0.2876838378293112,0.0
2010-08-02,1.6550301635003484,0.0
2010-08-03,-0.43364716717008145,0.0
2010-08-04,0.5512578557456571,0.0
2010-08-05,0.0026674213517319245,0.0
2010-08-06,-0.038315939398148036,0.0
2010-08-09,0.44442376357065605,0.0
2010-08-10,-0.165638271539581,0.0
2010-08-11,-2.4550352841988143,0.0
2010-08-12,0.19695277964268953,0.0
2010-08-13,-0.27443318211872736,0.0
2010-08-16,0.17540902148207582,0.0
2010-08-17,1.0525735805103853,0.0
2010-08-18,0.19046939864317824,0.0
2010-08-19,-1.5387515492887194,0.0
2010-08-20,-0.36630286052607985,0.0
2010-08-23,-0.5589923308008116,0.0
2010-08-24,-1.065646780946472,0.0
2010-08-25,0.6053476428692139,0.0
2010-08-26,-0.8577326411994157,0.0
2010-08-27,1.4600575642013114,0.0
2010-08-30,-1.3152676778285577,0.0
2010-08-31,0.2340240677487504,0.0
2010-09-01,2.9122117529019276,0.0
2010-09-02,0.8735347942626204,0.0
2010-09-03,0.9967012518232066,0.0
2010-09-07,-0.975876111361873,0.0
2010-09-08,0.5959582786740247,0.0
2010-09-09,0.27516952546837725,0.0
2010-09-10,0.45086348363847506,0.0
2010-09-13,0.7652391361336441,0.0
2010-09-14,-0.0053568261371261805,0.0
2010-09-15,0.5038182206586805,0.0
2010-09-16,0.0685137799263158,0.0
2010-09-17,-0.07102769180483692,0.0
2010-09-20,1.4326686684304812,0.0
2010-09-21,-0.2660013943630135,0.0
2010-09-22,-0.4572186664341338,0.0
2010-09-23,-0.5543293843678132,0.0
2010-09-24,1.5004200282952906,0.0
2010-09-27,-0.564143716578891,0.0
2010-09-28,0.47184147049885716,0.0
2010-09-29,-0.17615169228253347,0.0
2010-09-30,-0.4162429778437615,0.0
2010-10-01,0.2404918297042924,0.0
2010-10-04,-0.6925946680381712,0.0
2010-10-05,1.7594720117853901,0.0
2010-10-06,0.013787784317798035,0.0
2010-10-07,-0.30216757127073945,0.0
2010-10-08,0.5861769353539215,0.0
2010-10-11,0.0,0.0
2010-10-12,0.4715352059839528,0.0
2010-10-13,0.5788366635738784,0.0
2010-10-14,-0.34044997352493667,0.0
2010-10-15,-0.10871014367446197,0.0
2010-10-18,0.6695958785099432,0.0
2010-10-19,-1.0809059658622777,0.0
2010-10-20,0.9796573192491165,0.0
2010-10-21,0.037299206370144944,0.0
2010-10-22,0.21684820935556903,0.0
2010-10-25,0.07427831339079649,0.0
2010-10-26,0.06414234036300481,100.0
2010-10-27,-0.11741575623139822,0.0
2010-10-28,-0.05824895719732659,0.0
2010-10-29,-0.05152469055541564,0.0
2010-11-01,-0.11216537757985368,0.0
2010-11-02,0.4806930958121347,0.0
2010-11-03,0.3493011114646949,0.0
2010-11-04,1.8959638684740598,0.0
2010-11-05,0.38077502456499435,49.99999999999998
2010-11-08,0.000818299410165757,-33.33333333333333
2010-11-09,-0.8327905336669272,0.0
2010-11-10,0.4591346606167779,0.0
2010-11-11,0.04121875485547655,0.0
2010-11-12,-0.8155016491663947,49.99999999999998
2010-11-15,-0.2240796322637295,0.0
2010-11-16,-1.3768170728218676,-33.33333333333333
2010-11-17,0.022065955659456016,0.0
2010-11-18,1.0931312697993745,49.99999999999998
2010-11-19,0.3018079595942913,0.0
2010-11-22,-0.019195913348990512,0.0
2010-11-23,-0.9878348358006828,0.0
2010-11-24,1.2376467870560237,0.0
2010-11-26,-0.39860735825871796,0.0
2010-11-29,-0.11100567984023701,-33.33333333333333
2010-11-30,-0.20371882303312772,0.0
2010-12-01,1.6408200829020503,0.0
2010-12-02,1.2197421291199495,49.99999999999998
2010-12-03,0.39181813842705804,0.0
2010-12-06,-0.06128101865330304,0.0
2010-12-07,-0.28519046649011504,0.0
2010-12-08,0.2661188971321726,0.0
2010-12-09,0.2324926689243556,0.0
2010-12-10,0.5308626622142265,0.0
2010-12-13,-0.16579681303864335,0.0
2010-12-14,-0.020131418450108907,0.0
2010-12-15,-0.5114431458861146,0.0
2010-12-16,0.5281742463564498,49.99999999999998
2010-12-17,0.022517090756535296,-33.33333333333333
2010-12-20,0.105955102003219,49.99999999999998
2010-12-21,0.41378241700245066,-33.33333333333333
2010-12-22,0.31077378967572233,49.99999999999998
2010-12-23,-0.06043670909791077,0.0
2010-12-27,0.22954464192330715,0.0
2010-12-28,-0.04685615374092622,0.0
2010-12-29,0.07944199754730263,0.0
2010-12-30,-0.1238595404315812,0.0
2010-12-31,0.07002171265590995,0.0
2011-01-03,1.1330926715006795,0.0
2011-01-04,-0.21603363097413286,0.0
2011-01-05,0.6131897663290475,0.0
2011-01-06,-0.19118408840319567,0.0
2011-01-07,-0.2283436336532496,0.0
2011-01-10,-0.08576735463374785,0.0
2011-01-11,0.14930491440028337,0.0
2011-01-12,0.8082104281049274,0.0
2011-01-13,-0.15710459683797584,0.0
2011-01-14,0.8059837573886508,33.33333333333335
2011-01-18,0.1391912334253842,0.0
2011-01-19,-0.9733318446863426,0.0
2011-01-20,-0.046060493543953474,33.33333333333335
2011-01-21,-0.02181542156305394,0.0
2011-01-24,0.5883258287680659,0.0
2011-01-25,0.23366556145072437,0.0
