Date,Pct_Change_M2,Pct_Change_BTC
2010-07-19,-0.002907382425454741,inf
2010-07-26,-0.004595395273974123,0.0
2010-08-02,0.005964098237720261,0.0
2010-08-09,0.004752309179644421,0.0
2010-08-16,0.0006375998423389095,0.0
2010-08-23,-0.006001204875110133,0.0
2010-08-30,0.000722627567076195,0.0
2010-09-06,0.009795015140927177,0.0
2010-09-13,0.0014532704351737369,0.0
2010-09-20,-0.0042152786575604395,0.0
2010-09-27,-0.004927076947988107,0.0
2010-10-04,0.010391119893066625,0.0
2010-10-11,0.002599822843930122,0.0
2010-10-18,0.002650450347082778,0.0
2010-10-25,-0.008090540818895597,0.0
2010-11-01,0.004337844229859611,100.0
2010-11-08,0.00725977830107416,0.0
2010-11-15,0.0022124146110598097,49.99999999999998
2010-11-22,-0.0027082076899445084,0.0
2010-11-29,0.002384674189610303,-33.33333333333333
2010-12-06,0.004997040477166204,0.0
2010-12-13,0.002185953268169838,0.0
2010-12-20,0.0009945300845350946,49.99999999999998
2010-12-27,0.001987083954296809,0.0
2011-01-03,0.0015436967593636108,0.0
2011-01-10,-0.00013500590650850075,0.0
2011-01-17,0.0025654585757204362,0.0
2011-01-24,-0.013479085532148938,33.33333333333335
2011-01-31,-6.825938566557e-05,25.0
2011-02-07,0.008976721960543443,80.0
2011-02-14,0.0019958729406990283,22.222222222222232
2011-02-21,0.0,-27.27272727272727
2011-02-28,0.002498311951384391,12.5
2011-03-07,0.009889764486652686,0.0
2011-03-14,0.00145615419672529,0.0
2011-03-21,-0.0004550802495172368,-11.111111111111105
2011-03-28,-0.0022986463527032708,0.0
2011-04-04,0.009538543730382987,-12.50000000000001
2011-04-11,0.0007937995435653988,14.285714285714302
2011-04-18,0.0018286973285597252,49.99999999999998
2011-04-25,-0.008533004915274756,33.33333333333335
2011-05-02,-0.0020628847113625115,100.0
2011-05-09,0.0033229975883262153,18.74999999999998
2011-05-16,0.002503378453222238,110.52631578947367
2011-05-23,-0.005734553168920686,-9.999999999999998
2011-05-30,0.0020670111685281434,22.222222222222232
2011-06-06,0.008572600947089448,110.2272727272727
2011-06-13,7.697044334986636e-05,7.027027027027022
2011-06-20,0.0011214829963386297,-11.616161616161625
2011-06-27,0.0012959485135033422,-3.9999999999999925
2011-07-04,0.014741529653069518,-17.261904761904766
2011-07-11,-0.0005944981894827617,2.1582733812949506
2011-07-18,-0.0001514168288989648,-4.929577464788726
2011-07-25,-0.003612919974904205,4.444444444444451
2011-08-01,0.01915059927045326,-7.092198581560282
2011-08-08,0.007765563083216076,-40.458015267175576
2011-08-15,0.002124623434279327,42.307692307692314
2011-08-22,-0.002288884669746749,-1.8018018018017945
2011-08-29,-0.002283563627906049,-17.431192660550465
2011-09-05,0.00887965837686644,-15.555555555555555
2011-09-12,0.00021005976200227927,-19.736842105263165
2011-09-19,-0.0026461971416871233,-9.836065573770492
2011-09-26,-0.005201149727834586,-10.909090909090901
2011-10-03,0.00955707255119842,2.0408163265306145
2011-10-10,0.002170084287331786,-18.000000000000004
2011-10-17,0.003880956116951717,-36.58536585365852
2011-10-24,-0.010211950065648234,-3.8461538461538547
2011-10-31,0.003158360179394748,31.999999999999986
2011-11-07,0.011344793568834888,-9.090909090909083
2011-11-14,0.002168792221403537,-26.66666666666666
2011-11-21,-0.003831179589131928,4.545454545454519
2011-11-28,-0.00041577448391993954,8.69565217391306
2011-12-05,0.00721668781066076,15.999999999999993
2011-12-12,0.003252116456741616,6.896551724137945
2011-12-19,0.0002058142526371043,12.903225806451601
2011-12-26,-0.0005452955398939086,14.28571428571428
2012-01-02,0.01158098453809897,30.000000000000004
2012-01-09,-0.00029511433136264476,21.153846153846146
2012-01-16,-0.0018628229402063434,6.349206349206349
2012-01-23,-0.00966804344500527,-4.477611940298509
2012-01-30,-0.0034189090384834087,-14.0625
2012-02-06,0.00901059157840356,-1.8181818181818077
2012-02-13,0.002795784816737701,-1.85185185185186
2012-02-20,-4.0849673202614234e-05,-16.981132075471685
2012-02-27,-0.0014910739817803886,13.636363636363624
2012-03-05,0.011332719648153855,0.0
2012-03-12,0.0021339428386497605,-1.9999999999999907
2012-03-19,-0.0004743210649011953,-4.081632653061229
2012-03-26,-0.003776175763817502,-2.1276595744680993
2012-04-02,0.009425548303401365,8.69565217391306
2012-04-09,0.00657643727785695,-1.9999999999999907
2012-04-16,0.0001196971661696633,0.0
2012-04-23,-0.013763526654365976,2.0408163265306145
2012-04-30,-0.005208069980280117,-1.9999999999999907
2012-05-07,0.007044830741079533,4.081632653061207
2012-05-14,-0.0002119863117409082,-1.9607843137254832
2012-05-21,-0.0027362129197714413,2.0000000000000018
2012-05-28,-0.003229692926061234,0.0
2012-06-04,0.009547799943119495,3.9215686274509887
2012-06-11,0.004839423696072043,5.660377358490565
2012-06-18,-8.010172919603598e-05,12.5
2012-06-25,-0.00966304511089966,0.0
2012-07-02,0.010131445904954628,7.9365079365079305
2012-07-09,0.005245140237432722,2.941176470588247
2012-07-16,-0.0006671579073148637,21.42857142857142
2012-07-23,-0.0077521697107383325,-1.17647058823529
2012-07-30,0.0015866480553519136,8.333333333333325
2012-08-06,0.009464702874502517,19.7802197802198
2012-08-13,0.002085754298143616,10.091743119266061
2012-08-20,-0.0026166334631738675,-15.833333333333332
2012-08-27,-0.002941497977720142,7.920792079207928
2012-09-03,0.009787407931587833,-3.669724770642202
2012-09-10,0.004579775946305986,6.666666666666665
2012-09-17,0.0020239931616541362,6.25
2012-09-24,-0.010099524439868612,1.680672268907557
2012-10-01,0.010014362834926516,2.4793388429752206
