Date,Open,Close,Pct Change_BTC
2010-07-19,0.0,0.1,inf
2010-07-26,0.1,0.1,0.0
2010-08-02,0.1,0.1,0.0
2010-08-09,0.1,0.1,0.0
2010-08-16,0.1,0.1,0.0
2010-08-23,0.1,0.1,0.0
2010-08-30,0.1,0.1,0.0
2010-09-06,0.1,0.1,0.0
2010-09-13,0.1,0.1,0.0
2010-09-20,0.1,0.1,0.0
2010-09-27,0.1,0.1,0.0
2010-10-04,0.1,0.1,0.0
2010-10-11,0.1,0.1,0.0
2010-10-18,0.1,0.1,0.0
2010-10-25,0.1,0.1,0.0
2010-11-01,0.1,0.2,100.0
2010-11-08,0.2,0.2,0.0
2010-11-15,0.2,0.3,49.99999999999998
2010-11-22,0.3,0.3,0.0
2010-11-29,0.3,0.2,-33.33333333333333
2010-12-06,0.2,0.2,0.0
2010-12-13,0.2,0.2,0.0
2010-12-20,0.2,0.3,49.99999999999998
2010-12-27,0.3,0.3,0.0
2011-01-03,0.3,0.3,0.0
2011-01-10,0.3,0.3,0.0
2011-01-17,0.3,0.3,0.0
2011-01-24,0.3,0.4,33.33333333333335
2011-01-31,0.4,0.5,25.0
2011-02-07,0.5,0.9,80.0
2011-02-14,0.9,1.1,22.222222222222232
2011-02-21,1.1,0.8,-27.27272727272727
2011-02-28,0.8,0.9,12.5
2011-03-07,0.9,0.9,0.0
2011-03-14,0.9,0.9,0.0
2011-03-21,0.9,0.8,-11.111111111111105
2011-03-28,0.8,0.8,0.0
2011-04-04,0.8,0.7,-12.50000000000001
2011-04-11,0.7,0.8,14.285714285714302
2011-04-18,0.8,1.2,49.99999999999998
2011-04-25,1.2,1.6,33.33333333333335
2011-05-02,1.6,3.2,100.0
2011-05-09,3.2,3.8,18.74999999999998
2011-05-16,3.8,8.0,110.52631578947367
2011-05-23,8.0,7.2,-9.999999999999998
2011-05-30,7.2,8.8,22.222222222222232
2011-06-06,8.8,18.5,110.2272727272727
2011-06-13,18.5,19.8,7.027027027027022
2011-06-20,19.8,17.5,-11.616161616161625
2011-06-27,17.5,16.8,-3.9999999999999925
2011-07-04,16.8,13.9,-17.261904761904766
2011-07-11,13.9,14.2,2.1582733812949506
2011-07-18,14.2,13.5,-4.929577464788726
2011-07-25,13.5,14.1,4.444444444444451
2011-08-01,14.1,13.1,-7.092198581560282
2011-08-08,13.1,7.8,-40.458015267175576
2011-08-15,7.8,11.1,42.307692307692314
2011-08-22,11.1,10.9,-1.8018018018017945
2011-08-29,10.9,9.0,-17.431192660550465
2011-09-05,9.0,7.6,-15.555555555555555
2011-09-12,7.6,6.1,-19.736842105263165
2011-09-19,6.1,5.5,-9.836065573770492
2011-09-26,5.5,4.9,-10.909090909090901
2011-10-03,4.9,5.0,2.0408163265306145
2011-10-10,5.0,4.1,-18.000000000000004
2011-10-17,4.1,2.6,-36.58536585365852
2011-10-24,2.6,2.5,-3.8461538461538547
2011-10-31,2.5,3.3,31.999999999999986
2011-11-07,3.3,3.0,-9.090909090909083
2011-11-14,3.0,2.2,-26.66666666666666
2011-11-21,2.2,2.3,4.545454545454519
2011-11-28,2.3,2.5,8.69565217391306
2011-12-05,2.5,2.9,15.999999999999993
2011-12-12,2.9,3.1,6.896551724137945
2011-12-19,3.1,3.5,12.903225806451601
2011-12-26,3.5,4.0,14.28571428571428
2012-01-02,4.0,5.2,30.000000000000004
2012-01-09,5.2,6.3,21.153846153846146
2012-01-16,6.3,6.7,6.349206349206349
2012-01-23,6.7,6.4,-4.477611940298509
2012-01-30,6.4,5.5,-14.0625
2012-02-06,5.5,5.4,-1.8181818181818077
2012-02-13,5.4,5.3,-1.85185185185186
2012-02-20,5.3,4.4,-16.981132075471685
2012-02-27,4.4,5.0,13.636363636363624
2012-03-05,5.0,5.0,0.0
2012-03-12,5.0,4.9,-1.9999999999999907
2012-03-19,4.9,4.7,-4.081632653061229
2012-03-26,4.7,4.6,-2.1276595744680993
2012-04-02,4.6,5.0,8.69565217391306
2012-04-09,5.0,4.9,-1.9999999999999907
2012-04-16,4.9,4.9,0.0
