,Date,Pct Change
0,2009-09-17,-0.22287402901991493
1,2009-09-18,0.15939183209277008
2,2009-09-21,-0.2323950404546471
3,2009-09-22,0.49796583816981155
4,2009-09-23,-1.1018977462925683
5,2009-09-24,-1.1086459726770914
6,2009-09-25,-0.4859526318605534
7,2009-09-28,1.6835959654604604
8,2009-09-29,-0.28955393247543926
9,2009-09-30,-0.3713467610444554
10,2009-10-01,-2.375563581897011
11,2009-10-02,-0.43701626387132597
12,2009-10-05,1.323435866753675
13,2009-10-06,1.2187818788345295
14,2009-10-07,0.3729826365078237
15,2009-10-08,0.5141317718602822
16,2009-10-09,0.5829416460194858
17,2009-10-12,0.42551407693518506
18,2009-10-13,-0.16465911248511045
19,2009-10-14,1.2366934731405932
20,2009-10-15,0.5686262633884498
21,2009-10-16,-0.6385476859476547
22,2009-10-19,0.890450803829812
23,2009-10-20,-0.6899399215049562
24,2009-10-21,-0.8217433744701297
25,2009-10-22,1.1055056314780876
26,2009-10-23,-1.4621875835276743
27,2009-10-26,-1.2412560962560715
28,2009-10-27,-0.3868711928069146
29,2009-10-28,-1.7785988553213117
30,2009-10-29,2.148151769586293
31,2009-10-30,-2.742614752632355
32,2009-11-02,0.6466010562430791
33,2009-11-03,0.4313482347171327
34,2009-11-04,-0.06112025512198249
35,2009-11-05,1.8456941806043847
36,2009-11-06,0.4084790699753649
37,2009-11-09,1.9369302091762242
38,2009-11-10,0.10532709591808409
39,2009-11-11,0.22535405779862128
40,2009-11-12,-1.0079183262282854
41,2009-11-13,0.5415657401725893
42,2009-11-16,1.38649373270201
43,2009-11-17,0.09916658687998403
44,2009-11-18,0.032458487245246026
45,2009-11-19,-1.0429772607016163
46,2009-11-20,-0.2996390837757157
47,2009-11-23,1.0394027578931375
48,2009-11-24,-0.016271185243244002
49,2009-11-25,0.37415744245101745
50,2009-11-27,-1.2646187448997925
51,2009-11-30,0.41794374496884057
52,2009-12-01,0.9072764853828019
53,2009-12-02,0.018931943405808838
54,2009-12-03,-0.9607435870464531
55,2009-12-04,0.5043416198146078
56,2009-12-07,-0.20533499992270166
57,2009-12-08,-1.00631865237496
58,2009-12-09,0.44726783094066747
59,2009-12-10,0.3331271218341092
60,2009-12-11,0.2219349730860687
61,2009-12-14,0.5659679849703947
62,2009-12-15,-0.5546967284989268
63,2009-12-16,0.051421903726955875
64,2009-12-17,-0.92917580470957
65,2009-12-18,0.41990649200009944
66,2009-12-21,0.7907274675030607
67,2009-12-22,0.31493748237965136
68,2009-12-23,0.15641200291920399
69,2009-12-24,0.48168057816913024
70,2009-12-28,0.022172358474192855
71,2009-12-29,-0.2082404461096199
72,2009-12-30,0.07907515794967068
73,2009-12-31,-1.020770481911193
74,2010-01-04,1.4714776436941301
75,2010-01-05,0.34078940150457093
76,2010-01-06,0.12591715844043616
77,2010-01-07,0.47699242097718475
78,2010-01-08,0.391046264960182
79,2010-01-11,0.08901004974166682
80,2010-01-12,-0.6635793970859671
81,2010-01-13,0.735946636006779
82,2010-01-14,0.24264254383745687
83,2010-01-15,-1.018536028356154
84,2010-01-19,1.2499626599363545
85,2010-01-20,-0.8632703977432543
86,2010-01-21,-1.9496322228388818
87,2010-01-22,-2.127314514383416
88,2010-01-25,0.40095247024201086
89,2010-01-26,-0.33126526018085745
90,2010-01-27,0.509190879728183
91,2010-01-28,-1.130429818392975
92,2010-01-29,-1.2633196108376654
93,2010-02-01,1.4247200876359
94,2010-02-02,1.2173658884015115
95,2010-02-03,-0.3079955402698231
96,2010-02-04,-3.1114162359022535
97,2010-02-05,0.1945218864940701
98,2010-02-08,-0.8230818529033956
99,2010-02-09,0.9867328603414993
100,2010-02-10,-0.14490770607038517
101,2010-02-11,1.0655042055402797
102,2010-02-12,-0.04088864967843886
103,2010-02-16,1.4585814649908047
104,2010-02-17,0.30744203041144225
105,2010-02-18,0.7024349196412816
106,2010-02-19,0.33288892196639
107,2010-02-22,-0.17927839949324342
108,2010-02-23,-1.163894460636128
109,2010-02-24,0.8531855807571098
110,2010-02-25,0.15436700328266273
111,2010-02-26,0.12600985216224547
112,2010-03-01,0.9363443333481714
113,2010-03-02,0.11638649759260211
114,2010-03-03,-0.0509171577080747
115,2010-03-04,0.34401812162550005
116,2010-03-05,1.2069784657300575
117,2010-03-08,0.008782113825844817
118,2010-03-09,0.2540430772242086
119,2010-03-10,0.47271708853806604
120,2010-03-11,0.5489728234656432
121,2010-03-12,-0.14934061191281822
122,2010-03-15,0.17239257296233212
123,2010-03-16,0.7498940080077565
124,2010-03-17,0.5405469117347961
125,2010-03-18,-0.025730306815585635
126,2010-03-19,-0.5811386999640011
127,2010-03-22,0.7396896602938074
128,2010-03-23,0.6601175714404439
129,2010-03-24,-0.42465939081633985
130,2010-03-25,-0.3675161081728051
131,2010-03-26,-0.0847899305945754
132,2010-03-29,0.47186458538053255
133,2010-03-30,-0.040892904685840836
134,2010-03-31,-0.197989868919346
135,2010-04-01,0.5865624370747335
136,2010-04-05,0.7406385589383335
137,2010-04-06,0.2891992152159739
138,2010-04-07,-0.48644028444685405
139,2010-04-08,0.39686409191876937
140,2010-04-09,0.5810693814831236
141,2010-04-12,0.12888003899909073
142,2010-04-13,0.1137270672869839
143,2010-04-14,0.9977628571556485
144,2010-04-15,0.07433487776737913
145,2010-04-16,-1.4907028274875445
146,2010-04-19,0.4580273366378007
147,2010-04-20,0.6780428190846122
148,2010-04-21,-0.10107133593655337
149,2010-04-22,0.5114280273238014
150,2010-04-23,0.7790601817850851
151,2010-04-26,-0.4124575975475775
